,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
cape-verde,-0.295,-0.312,0.277,-0.486,-0.269,0.037,0.22,0.185,-0.025,-0.31,0.231,-0.214,-0.362,0.717,0.496,-0.253,-0.225,0.201,-0.548,-0.183,-0.184,0.227,0.391,0.693,0.497,0.445,0.18,0.573,0.163,0.191,-0.013,0.926,0.558,0.447,0.724,0.398,0.444,0.234,0.237,0.971,1.024,1.098,1.313,0.501,0.597,1.131,0.931,0.665,0.71,1.027,0.903,0.684,0.844,0.425,1.767,1.121,0.905,1.028,0.797,0.942
cayman-islands,-0.298,-0.048,0.147,0.293,0.136,0.172,-0.087,-0.077,0.199,-0.016,-0.307,-0.141,-0.431,0.042,-0.188,-0.084,0.16,0.162,-0.032,0.169,-0.06,0.214,0.112,0.106,0.257,-0.117,0.46,0.373,0.122,0.137,0.248,0.343,0.39,0.245,0.511,0.523,0.294,0.418,0.803,0.723,0.214,0.828,0.791,0.286,0.204,0.307,0.664,0.575,0.654,0.531,0.577,0.664,0.427,0.543,0.08,0.461,0.359,0.699,0.604,0.976
central-african-republic,-0.358,-0.26,-0.058,-0.256,-0.166,-0.071,-0.196,-0.199,0.196,0.146,-0.184,0.198,0.573,-0.137,-0.032,0.067,0.224,0.174,0.43,0.574,0.102,0.141,0.389,0.1,0.113,0.306,0.677,0.311,-0.031,0.491,0.379,-0.118,0.434,0.397,0.243,0.401,0.712,0.996,0.359,0.542,0.562,0.863,0.954,1.047,1.375,1.09,0.766,0.744,1.25,1.017,0.712,0.507,0.851,0.845,0.816,1.184,1.189,0.789,0.959,0.882
chad,-0.907,-0.2,0.367,-0.257,-0.36,-0.17,-0.213,-0.162,0.691,-0.074,-0.149,0.279,0.656,-0.182,-0.189,0.335,-0.259,0.07,0.448,0.406,0.098,0.151,-0.048,0.296,0.322,0.443,0.469,0.211,-0.334,0.542,0.413,-0.224,0.464,0.214,0.463,0.715,0.666,0.82,0.686,0.233,0.531,0.731,0.693,0.802,1.193,1.017,0.739,0.578,1.146,1.497,0.693,0.743,0.958,1.068,0.881,1.365,0.903,1.147,1.029,0.809
chile,-0.179,0.214,0.039,-0.195,0.093,-0.017,0.036,0.34,0.348,0.116,-0.412,-0.012,-0.087,-0.16,-0.087,-0.196,0.458,0.441,0.368,0.4,0.436,0.499,0.742,-0.105,0.472,0.236,0.747,0.132,0.413,0.309,0.165,0.057,0.37,0.457,0.209,0.222,0.71,0.745,0.281,-0.081,0.218,0.083,0.413,0.629,0.277,0.544,-0.086,0.617,0.477,0.124,0.429,0.643,0.649,0.529,0.991,1.066,0.899,0.6,0.769,1.041
china,0.243,-0.079,0.257,-0.051,-0.006,0.157,-0.399,-0.103,-0.345,-0.256,0.027,-0.005,0.394,-0.157,0.279,-0.341,0.047,0.248,0.273,0.131,0.104,0.32,0.1,-0.331,-0.091,0.022,0.4,0.389,0.352,0.755,0.379,0.123,0.185,0.769,0.487,0.225,0.617,1.34,1.116,0.481,0.868,1.078,0.811,1.03,0.782,1.28,1.487,0.931,1.145,0.913,0.699,0.454,1.134,1.007,1.37,1.414,1.428,1.201,1.404,1.475
christmas-island,-0.135,0.144,0.182,0.193,0.098,-0.113,-0.11,-0.118,-0.036,-0.155,0.032,-0.018,-0.17,0.248,0.051,-0.192,0.166,0.325,-0.102,-0.143,-0.193,0.063,-0.077,0.172,0.308,0.239,0.261,0.645,0.103,0.078,-0.193,0.448,0.454,0.331,0.498,0.284,0.267,0.329,0.188,0.434,0.57,0.261,0.873,0.553,0.535,0.299,0.762,0.729,0.638,0.742,0.57,0.602,0.326,0.595,0.897,0.391,0.56,0.801,0.842,0.921
colombia,0.053,-0.01,0.047,0.031,0.038,0.191,-0.144,-0.133,0.334,0.027,-0.45,0.031,0.248,-0.281,-0.395,-0.175,0.319,0.158,0.19,0.372,0.109,0.225,0.605,-0.128,0.007,0.005,0.613,0.24,-0.069,0.266,0.446,0.636,0.328,0.269,0.561,0.195,0.654,0.925,0.064,0.153,0.521,0.746,0.762,0.683,0.775,0.625,0.653,0.387,0.837,0.912,0.489,0.553,0.68,0.734,1.057,0.974,0.675,0.752,1.046,1.214
comoros,0.34,-0.034,-0.333,-0.374,-0.427,0.119,0.101,-0.401,0.316,0.082,-0.389,0.066,0.144,-0.248,-0.032,-0.029,0.516,0.254,0.271,0.279,0.179,0.527,0.591,-0.074,0.007,0.263,0.678,0.644,0.062,0.433,0.488,0.51,0.358,0.58,0.637,0.41,0.785,1.085,0.531,0.567,0.79,0.912,0.878,0.692,0.97,0.739,0.893,0.488,0.87,1.081,0.777,0.656,0.678,0.699,1.006,0.892,1.001,0.88,1.316,1.189
congo-(democratic-republic-of-the),-0.362,-0.031,0.27,0.158,-0.013,-0.025,-0.08,-0.049,-0.136,-0.101,0.066,-0.171,-0.226,0.17,0.151,-0.278,0.09,0.314,-0.2,-0.157,-0.185,0.218,0.141,0.32,0.347,0.235,0.1,0.562,0.16,0.136,0.229,0.786,0.551,0.153,0.464,0.285,0.319,0.323,0.461,0.701,0.455,0.772,1.01,0.304,0.43,0.465,0.732,0.767,0.747,1.13,0.738,0.571,0.502,0.757,1.106,0.527,0.44,0.816,0.674,0.738
congo,-0.256,0.008,0.093,0.087,0.052,-0.181,0.023,0.153,-0.088,-0.09,0.152,-0.108,-0.123,0.141,0.196,-0.209,0.024,0.353,-0.194,-0.161,-0.28,0.223,0.059,0.342,0.215,0.112,-0.048,0.398,0.22,0.03,0.103,0.658,0.457,0.133,0.316,0.31,0.025,0.194,0.366,0.633,0.185,0.589,1.064,0.34,0.278,0.24,0.501,0.558,0.647,0.751,0.763,0.659,0.743,0.876,1.113,0.463,0.495,0.669,0.607,0.751
costa-rica,-0.022,-0.199,-0.04,-0.202,-0.004,0.037,-0.295,-0.298,0.124,-0.281,-0.401,0.231,0.124,-0.286,-0.314,0.095,0.416,0.158,0.143,0.218,-0.093,0.285,0.664,-0.202,-0.147,0.06,0.814,0.102,-0.021,0.351,0.459,0.479,0.377,0.499,0.426,0.027,0.933,1.08,-0.023,0.065,0.375,0.63,0.721,0.658,0.518,0.41,0.555,0.128,0.672,0.311,0.18,0.474,0.622,0.83,1.224,0.931,0.611,0.64,1.001,0.994
croatia,0.789,-0.605,-0.389,-0.36,-0.491,0.533,0.305,0.148,-0.379,-0.143,-0.07,0.028,-0.196,0.32,0.519,-0.44,0.482,-0.716,0.294,-0.807,0.059,0.458,0.467,-0.307,-0.371,-0.111,-0.083,0.525,0.63,0.914,-0.199,1.057,0.41,1.62,0.394,-0.334,0.344,0.7,0.896,1.87,1.002,1.559,1.184,0.541,-0.009,0.862,1.667,1.594,1.454,0.523,1.336,1.596,1.25,2.028,1.787,1.417,1.501,2.146,2.163,1.804
cuba,0.145,-0.085,-0.03,0.235,-0.033,-0.409,-0.082,-0.359,0.029,-0.257,-0.033,0.27,0.096,0.01,0.289,-0.107,0.078,0.017,0.094,0.191,-0.195,0.428,0.236,-0.03,0.041,0.262,0.346,0.314,0.375,0.618,0.633,0.34,0.402,0.728,0.519,0.051,0.829,0.796,0.192,0.19,0.315,0.719,0.737,0.529,0.421,0.453,0.607,0.459,0.445,0.038,0.54,0.478,0.761,0.726,1.216,0.978,0.895,0.811,1.187,1.332
